,red,green,blue
157,37743.0,219104.0,5297.0
158,60993.0,199078.0,2073.0
159,28726.0,233418.0,0.0
160,0.0,262144.0,0.0
161,59973.0,202171.0,0.0
162,0.0,262144.0,0.0
163,18712.0,243432.0,0.0
164,21188.0,237839.0,3117.0
165,29782.0,232362.0,0.0
166,76374.0,185770.0,0.0
167,872.0,259134.0,2138.0
168,14758.0,240645.0,6741.0
169,0.0,262144.0,0.0
170,44803.0,215479.0,1862.0
171,0.0,1041.0,261103.0
172,0.0,262144.0,0.0
173,0.0,159099.0,103045.0
174,43439.0,216700.0,2005.0
175,50084.0,209356.0,2704.0
176,0.0,5219.0,256925.0
177,0.0,41848.0,220296.0
178,0.0,262144.0,0.0
179,52171.0,199020.0,10952.0
180,0.0,2188.0,259956.0
181,0.0,6213.0,255931.0
182,65839.0,190736.0,5569.0
183,0.0,221280.0,40864.0
184,12425.0,248458.0,1261.0
185,1062.0,261082.0,0.0
186,104098.0,156192.0,1854.0
187,7163.0,254981.0,0.0
188,148651.0,113493.0,0.0
189,3028.0,259116.0,0.0
190,0.0,262144.0,0.0
191,123219.0,126901.0,12024.0
192,124761.0,136632.0,751.0
193,147704.0,114440.0,0.0
194,44342.0,217802.0,0.0
195,6801.0,255343.0,0.0
196,56775.0,198662.0,6707.0
197,49940.0,211061.0,1143.0
198,15941.0,244354.0,1849.0
199,23384.0,238760.0,0.0
200,136417.0,123857.0,1870.0
201,13062.0,127727.0,121355.0
202,20516.0,241628.0,0.0
203,0.0,102222.0,159922.0
204,1436.0,260708.0,0.0
205,58518.0,199437.0,4189.0
206,35777.0,226367.0,0.0
207,2848.0,191036.0,68260.0
208,17164.0,243841.0,1139.0
209,85744.0,175275.0,1125.0
210,0.0,262144.0,0.0
211,33761.0,228383.0,0.0
212,16684.0,245460.0,0.0
213,23373.0,238771.0,0.0
214,31759.0,230385.0,0.0
215,44872.0,147255.0,70017.0
216,45266.0,178214.0,38664.0
217,28086.0,233779.0,279.0
218,62170.0,199974.0,0.0
219,5975.0,256169.0,0.0
220,33641.0,228503.0,0.0
221,67268.0,194876.0,0.0
222,2965.0,259179.0,0.0
223,72721.0,188095.0,1328.0
224,36552.0,224401.0,1191.0
225,0.0,136809.0,125335.0
226,179757.0,78605.0,3782.0
227,0.0,262144.0,0.0
228,1335.0,190954.0,69855.0
229,24078.0,235690.0,2376.0
230,13944.0,247686.0,514.0
231,12278.0,248804.0,1062.0
232,22995.0,239149.0,0.0
233,7307.0,253932.0,905.0
234,56756.0,205388.0,0.0
235,145279.0,116865.0,0.0
236,65757.0,185888.0,10499.0
237,48942.0,213202.0,0.0
238,0.0,43230.0,218914.0
239,16089.0,246055.0,0.0
240,0.0,20564.0,241580.0
241,20960.0,241184.0,0.0
242,0.0,262144.0,0.0
243,0.0,262144.0,0.0
244,5333.0,256811.0,0.0
245,0.0,262144.0,0.0
246,1405.0,108190.0,152549.0
247,30278.0,230202.0,1664.0
248,51090.0,211054.0,0.0
249,26743.0,235401.0,0.0
250,0.0,27939.0,234205.0
251,5824.0,256320.0,0.0
252,16398.0,245746.0,0.0
253,31124.0,231020.0,0.0
254,3896.0,258248.0,0.0
255,135355.0,126789.0,0.0
256,38118.0,168295.0,55731.0
257,0.0,262144.0,0.0
258,142274.0,114955.0,4915.0
259,24131.0,238013.0,0.0
260,0.0,9802.0,252342.0
261,0.0,262144.0,0.0
262,0.0,37860.0,224284.0
263,80314.0,181830.0,0.0
264,0.0,377.0,261767.0
265,32593.0,229551.0,0.0
266,0.0,108539.0,153604.0
267,15876.0,245430.0,838.0
268,96073.0,159559.0,6512.0
269,0.0,159139.0,103005.0
270,42015.0,219580.0,549.0
271,97186.0,164958.0,0.0
272,51908.0,208809.0,1418.0
273,51502.0,209477.0,1165.0
274,45095.0,217049.0,0.0
275,0.0,262144.0,0.0
276,56842.0,202111.0,3191.0
277,95688.0,132616.0,33840.0
278,0.0,262144.0,0.0
279,8380.0,253764.0,0.0
280,85753.0,172500.0,3891.0
281,0.0,33193.0,228951.0
282,0.0,262144.0,0.0
283,2972.0,259172.0,0.0
284,0.0,262144.0,0.0
285,0.0,262144.0,0.0
286,10246.0,251898.0,0.0
287,0.0,262144.0,0.0
288,0.0,262144.0,0.0
289,0.0,262144.0,0.0
290,19456.0,242688.0,0.0
291,0.0,262144.0,0.0
292,0.0,262144.0,0.0
293,70316.0,191828.0,0.0
294,13856.0,247554.0,732.0
295,10608.0,251536.0,0.0
296,0.0,262144.0,0.0
297,71203.0,190941.0,0.0
298,548.0,261596.0,0.0
299,0.0,29468.0,232676.0
300,55587.0,202206.0,4351.0
301,0.0,262144.0,0.0
302,0.0,12697.0,249447.0
303,49342.0,208142.0,4660.0
304,102878.0,156992.0,2274.0
305,0.0,105684.0,156460.0
306,13264.0,248880.0,0.0
307,99749.0,162395.0,0.0
308,32304.0,229181.0,659.0
309,63928.0,194101.0,4115.0
310,85232.0,172329.0,4583.0
311,41961.0,220183.0,0.0
312,17335.0,91047.0,153762.0
313,0.0,262144.0,0.0
314,6761.0,249688.0,5695.0
315,1305.0,168293.0,92546.0
316,0.0,262144.0,0.0
317,32002.0,225903.0,4239.0
318,0.0,260506.0,1638.0
319,0.0,0.0,262144.0
320,0.0,260699.0,1445.0
321,43016.0,217613.0,1515.0
